Timestamp,Statement,Answer
2022-01-06T23:37:28.737Z,What physical markers do you want established in your honor?,Grave marker
2022-01-06T23:37:28.74Z,What physical markers do you want established in your honor?,Grave marker
2022-01-06T23:42:55.17Z,Where do you want your funeral to take place?,Funeral home
2022-01-06T23:42:55.177Z,Where do you want your funeral to take place?,Funeral home
2022-01-06T23:44:17.287Z,What details of your funeral are important to you?,Music
2022-01-06T23:44:17.29Z,What details of your funeral are important to you?,Music
2022-01-09T03:34:03.89Z,What do you want to happen to your body after you die?,Traditional burial
2022-01-09T03:52:48.193Z,Do you have life insurance?,Yes
2022-01-09T03:58:31.047Z,Do you have a power of attorney?,No
2022-01-10T17:21:59.183Z,Who passed away?,My parent
2022-01-10T17:22:05.477Z,When did your loved one pass away?,"They haven't yet, I'm just preparing"
2022-01-10T17:22:11.267Z,Were you anticipating this death?,"No, it was unexpected"
2022-01-10T17:22:16.677Z,Which best represents your situation?,"I'm NOT the primary person, but I want to help"
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Settling their will/estate
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Funeral arrangements
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Notifying friends and family
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Honoring their legacy
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Managing their finances
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Handling their belongings
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Closing their accounts
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Coping with grief
2022-01-10T17:22:33.753Z,Which aspects of dealing with a loss are most important to you?,Collecting benefits
2022-01-11T17:14:04.833Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-01-11T17:14:11.49Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-01-11T17:14:21.967Z,What could you most use help on right now?,Planning my future funeral
2022-01-11T17:15:56.84Z,What details of your funeral are important to you?,Other
2022-01-11T17:15:56.847Z,What details of your funeral are important to you?,Other
2022-01-11T17:16:05.127Z,What do you want to happen to your body after you die?,Traditional burial
2022-01-11T17:16:28.38Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-11T17:17:14.54Z,Where do you want your funeral to take place?,Funeral home
2022-01-11T17:17:14.543Z,Where do you want your funeral to take place?,Funeral home
2022-01-11T17:18:11.997Z,What physical markers do you want established in your honor?,Grave marker
2022-01-11T17:18:45.5Z,Which healthcare documents do you have?,Advance directive or living will
2022-01-11T17:19:08.123Z,What do you want to happen to your email accounts when you die?,Delete it all!
2022-01-11T17:20:50.153Z,Do you have life insurance?,Yes
2022-01-11T17:20:59.697Z,Do you have a power of attorney?,No
2022-01-11T17:21:08.397Z,Do you have a will and/or trust?,No
2022-01-11T17:22:01.17Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-11T17:22:01.177Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-12T18:11:17.87Z,Do you have life insurance?,Yes
2022-01-12T18:11:17.88Z,Do you have life insurance?,Yes
2022-01-12T18:12:18.513Z,Do you have a power of attorney?,Yes
2022-01-12T18:12:18.52Z,Do you have a power of attorney?,Yes
2022-01-12T18:12:57.307Z,Do you have a will and/or trust?,Yes
2022-01-12T18:12:57.33Z,Do you have a will and/or trust?,Yes
2022-01-12T18:13:29.793Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-12T18:13:29.803Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-12T18:31:35.223Z,Where do you want your funeral to take place?,My place of worship
2022-01-12T18:31:35.223Z,Where do you want your funeral to take place?,Somewhere outside
2022-01-12T18:31:35.23Z,Where do you want your funeral to take place?,My place of worship
2022-01-12T18:31:35.23Z,Where do you want your funeral to take place?,Somewhere outside
2022-01-12T18:33:07.263Z,What would you like people to give in your honor?,Other
2022-01-12T18:33:07.263Z,What would you like people to give in your honor?,Donations
2022-01-12T18:33:07.267Z,What would you like people to give in your honor?,Other
2022-01-12T18:33:07.267Z,What would you like people to give in your honor?,Donations
2022-01-12T18:33:56.91Z,What details of your funeral are important to you?,Readings
2022-01-12T18:33:56.91Z,What details of your funeral are important to you?,Rituals
2022-01-12T18:33:56.91Z,What details of your funeral are important to you?,Music
2022-01-12T18:33:56.91Z,What details of your funeral are important to you?,Food/drinks
2022-01-12T18:33:56.91Z,What details of your funeral are important to you?,Dress code
2022-01-12T18:33:56.917Z,What details of your funeral are important to you?,Readings
2022-01-12T18:33:56.917Z,What details of your funeral are important to you?,Rituals
2022-01-12T18:33:56.917Z,What details of your funeral are important to you?,Music
2022-01-12T18:33:56.917Z,What details of your funeral are important to you?,Food/drinks
2022-01-12T18:33:56.917Z,What details of your funeral are important to you?,Dress code
2022-01-12T18:34:11.597Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-12T18:36:25.57Z,Are you an organ donor?,No
2022-01-12T18:36:25.577Z,Are you an organ donor?,No
2022-01-12T18:36:33.327Z,Which healthcare documents do you have?,Healthcare proxy form
2022-01-12T18:36:33.327Z,Which healthcare documents do you have?,Advance directive or living will
2022-01-12T18:36:33.327Z,Which healthcare documents do you have?,HIPAA release form
2022-01-12T18:38:41.323Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-01-12T18:38:41.33Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-01-21T13:45:01.63Z,Who passed away?,My child
2022-01-21T13:45:12.4Z,When did your loved one pass away?,Over a year ago
2022-01-21T13:45:21.03Z,Were you anticipating this death?,"No, it was unexpected"
2022-01-21T13:45:42.347Z,Which best represents your situation?,I am the only primary person dealing with logistics after this loss
2022-01-21T13:45:46.24Z,Which aspects of dealing with a loss are most important to you?,Coping with grief
2022-01-21T14:38:32.85Z,How much have you thought about your end-of-life wishes?,I haven't thought about it
2022-01-21T14:38:37.523Z,What's motivating you to prepare for end of life?,I'm near end of life
2022-01-21T14:38:44.333Z,What could you most use help on right now?,Planning my future funeral
2022-01-21T14:38:44.333Z,What could you most use help on right now?,Protecting my pets when I die
2022-01-21T14:39:11.26Z,What details of your funeral are important to you?,Rituals
2022-01-21T14:39:11.26Z,What details of your funeral are important to you?,Music
2022-01-21T14:39:24.657Z,What would you like people to give in your honor?,Donations
2022-01-21T14:39:30.67Z,Where do you want your funeral to take place?,My favorite bar
2022-01-21T14:39:43.707Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-21T14:39:53.073Z,What do you want to happen to your body after you die?,Cremation
2022-01-21T14:40:31.02Z,What physical markers do you want established in your honor?,Grave marker
2022-01-21T14:40:36.237Z,Are you an organ donor?,Yes
2022-01-21T14:40:40.293Z,Which healthcare documents do you have?,Healthcare proxy form
2022-01-21T14:40:53.577Z,What do you want to happen to your email accounts when you die?,Leave it be
2022-01-21T14:41:14.05Z,Do you have life insurance?,Yes
2022-01-21T14:41:18.13Z,Do you have a power of attorney?,No
2022-01-21T14:41:23.767Z,Do you have a will and/or trust?,Yes
2022-01-21T14:41:26.75Z,Who should your loved ones reach out to when managing your estate?,Estate attorney/personal lawyer
2022-01-21T14:41:30.297Z,Who should your loved ones reach out to when managing your estate?,Estate attorney/personal lawyer
2022-01-21T18:54:15.08Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-01-21T18:54:24.143Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-01-21T18:54:24.143Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-01-21T18:54:24.143Z,What's motivating you to prepare for end of life?,I want to protect my family financially
2022-01-21T18:54:24.143Z,What's motivating you to prepare for end of life?,I want to prevent family disagreements.
2022-01-21T18:54:33.677Z,What could you most use help on right now?,Planning my future funeral
2022-01-21T18:54:33.677Z,What could you most use help on right now?,Deciding what to do with my body
2022-01-21T18:54:33.677Z,What could you most use help on right now?,Getting my legal documents in place
2022-01-21T18:54:33.677Z,What could you most use help on right now?,Organizing my accounts & documents
2022-01-21T18:54:33.677Z,What could you most use help on right now?,Sharing my wishes
2022-01-21T18:55:02.747Z,Who passed away?,Another family member
2022-01-21T18:55:08.803Z,When did your loved one pass away?,Within the past month
2022-01-21T18:55:14.3Z,Were you anticipating this death?,"No, it was unexpected"
2022-01-21T18:55:24.497Z,Which best represents your situation?,"I'm NOT the primary person, but I want to help"
2022-01-21T18:55:37.027Z,Which aspects of dealing with a loss are most important to you?,Coping with grief
2022-01-21T19:04:42.32Z,What details of your funeral are important to you?,Readings
2022-01-21T19:04:42.32Z,What details of your funeral are important to you?,Music
2022-01-21T19:04:42.32Z,What details of your funeral are important to you?,Food/drinks
2022-01-21T19:04:42.327Z,What details of your funeral are important to you?,Readings
2022-01-21T19:04:42.327Z,What details of your funeral are important to you?,Music
2022-01-21T19:04:42.327Z,What details of your funeral are important to you?,Food/drinks
2022-01-21T19:04:45.693Z,What would you like people to give in your honor?,Flowers
2022-01-21T19:04:45.7Z,What would you like people to give in your honor?,Flowers
2022-01-21T19:08:26.993Z,What do you want the mood to be at your funeral?,Other
2022-01-21T19:08:27Z,What do you want the mood to be at your funeral?,Other
2022-01-21T19:10:49.667Z,What do you want to happen to your body after you die?,Green burial
2022-01-21T19:10:49.67Z,What do you want to happen to your body after you die?,Green burial
2022-01-21T19:53:09.94Z,Are you an organ donor?,Yes
2022-01-21T19:53:09.943Z,Are you an organ donor?,Yes
2022-01-21T19:57:23.753Z,Do you have life insurance?,Yes
2022-01-21T19:57:23.76Z,Do you have life insurance?,Yes
2022-01-25T09:49:34Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-01-25T09:49:54.677Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-01-25T09:50:32.997Z,What could you most use help on right now?,Planning my future funeral
2022-01-25T09:50:32.997Z,What could you most use help on right now?,Deciding what to do with my body
2022-01-25T09:50:32.997Z,What could you most use help on right now?,Organizing my accounts & documents
2022-01-25T09:50:32.997Z,What could you most use help on right now?,Sharing my wishes
2022-01-25T09:52:52.613Z,What details of your funeral are important to you?,Readings
2022-01-25T09:52:52.613Z,What details of your funeral are important to you?,Music
2022-01-25T09:53:12.573Z,What would you like people to give in your honor?,Flowers
2022-01-25T09:53:12.573Z,What would you like people to give in your honor?,Donations
2022-01-25T09:54:55.053Z,Where do you want your funeral to take place?,Funeral home
2022-01-25T09:55:07.69Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-27T03:07:52.717Z,What would you like people to give in your honor?,Flowers
2022-01-27T03:10:14.377Z,Where do you want your funeral to take place?,Funeral home
2022-01-27T03:11:21.033Z,What do you want the mood to be at your funeral?,Other
2022-01-27T03:30:58.167Z,What physical markers do you want established in your honor?,Grave marker
2022-01-27T03:54:58.903Z,Which healthcare documents do you have?,HIPAA release form
2022-01-27T04:09:38.05Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-01-27T04:22:20.933Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-27T04:23:46.763Z,Do you have a will and/or trust?,Yes
2022-01-27T05:13:28.867Z,Do you have life insurance?,Yes
2022-01-27T13:26:35.697Z,What do you want to happen to your body after you die?,Traditional burial
2022-01-27T13:28:53.5Z,Are you an organ donor?,Yes
2022-01-27T13:31:17.983Z,Do you have a power of attorney?,No
2022-01-27T13:33:50.05Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-29T05:41:18.407Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-01-29T05:41:27.66Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-01-29T05:41:27.66Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-01-29T05:41:27.66Z,What's motivating you to prepare for end of life?,I want to protect my family financially
2022-01-29T05:42:01.22Z,What could you most use help on right now?,Health care planning
2022-01-29T05:42:01.22Z,What could you most use help on right now?,Getting my legal documents in place
2022-01-29T05:42:01.22Z,What could you most use help on right now?,Leaving a legacy
2022-01-29T05:42:01.22Z,What could you most use help on right now?,Protecting my pets when I die
2022-01-29T05:42:01.22Z,What could you most use help on right now?,Organizing my accounts & documents
2022-01-29T05:42:01.22Z,What could you most use help on right now?,Sharing my wishes
2022-01-29T05:43:36.477Z,What details of your funeral are important to you?,Other
2022-01-29T05:43:36.477Z,What details of your funeral are important to you?,Music
2022-01-29T05:43:36.477Z,What details of your funeral are important to you?,Food/drinks
2022-01-29T05:43:36.483Z,What details of your funeral are important to you?,Other
2022-01-29T05:43:36.483Z,What details of your funeral are important to you?,Music
2022-01-29T05:43:36.483Z,What details of your funeral are important to you?,Food/drinks
2022-01-29T05:46:01.293Z,What would you like people to give in your honor?,Donations
2022-01-29T05:46:01.3Z,What would you like people to give in your honor?,Donations
2022-01-29T05:47:19.69Z,Where do you want your funeral to take place?,My place of worship
2022-01-29T05:47:19.7Z,Where do you want your funeral to take place?,My place of worship
2022-01-29T05:47:49.71Z,Where do you want your funeral to take place?,My place of worship
2022-01-29T05:48:55.737Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-29T05:48:55.743Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-29T05:49:53.127Z,What do you want to happen to your body after you die?,Other
2022-01-29T05:49:53.133Z,What do you want to happen to your body after you die?,Other
2022-01-29T06:02:53.887Z,What physical markers do you want established in your honor?,Bench
2022-01-29T06:02:53.89Z,What physical markers do you want established in your honor?,Bench
2022-01-29T06:06:05.177Z,Are you an organ donor?,Yes
2022-01-29T06:06:05.183Z,Are you an organ donor?,Yes
2022-01-29T06:14:49.597Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-01-29T06:14:49.603Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-01-29T06:22:10.193Z,Do you have life insurance?,Yes
2022-01-29T06:22:10.2Z,Do you have life insurance?,Yes
2022-01-29T06:23:15.5Z,Do you have a power of attorney?,Yes
2022-01-29T06:23:15.507Z,Do you have a power of attorney?,Yes
2022-01-29T06:23:27.037Z,Do you have a will and/or trust?,Yes
2022-01-29T06:24:57.76Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-29T06:24:57.767Z,Who should your loved ones reach out to when managing your estate?,Other
2022-02-05T00:08:05.047Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-02-05T00:08:11.677Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-02-05T00:08:25.543Z,What could you most use help on right now?,Health care planning
2022-02-05T00:08:25.543Z,What could you most use help on right now?,Planning my future funeral
2022-02-05T00:08:25.543Z,What could you most use help on right now?,Deciding what to do with my body
2022-02-05T00:08:25.543Z,What could you most use help on right now?,Getting my legal documents in place
2022-02-05T00:08:25.543Z,What could you most use help on right now?,Organizing my accounts & documents
2022-02-05T00:08:25.543Z,What could you most use help on right now?,Sharing my wishes
2022-02-05T00:09:23.26Z,Are you an organ donor?,No
2022-02-05T00:12:26.05Z,What do you want to happen to your email accounts when you die?,Leave it be
2022-02-05T00:12:26.057Z,What do you want to happen to your email accounts when you die?,Leave it be
2022-02-18T14:18:18.14Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-02-18T14:18:28.153Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-02-18T14:18:57.287Z,What could you most use help on right now?,Getting my legal documents in place
2022-02-18T14:24:13.187Z,What details of your funeral are important to you?,Other
2022-02-18T14:24:13.19Z,What details of your funeral are important to you?,Other
2022-02-18T14:25:13.537Z,What would you like people to give in your honor?,Donations
2022-02-18T14:25:13.543Z,What would you like people to give in your honor?,Donations
2022-02-18T14:26:55.757Z,Where do you want your funeral to take place?,Somewhere outside
2022-02-18T14:26:55.76Z,Where do you want your funeral to take place?,Somewhere outside
2022-02-18T14:27:54.593Z,What do you want the mood to be at your funeral?,Celebratory
2022-02-18T14:27:54.597Z,What do you want the mood to be at your funeral?,Celebratory
2022-02-18T14:28:16.383Z,What do you want to happen to your body after you die?,Cremation
2022-02-18T14:28:40.547Z,Are you an organ donor?,Yes
2022-02-18T14:41:19.923Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-02-18T14:41:19.93Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-02-18T15:13:02.683Z,Do you have life insurance?,Yes
2022-02-18T15:13:02.69Z,Do you have life insurance?,Yes
2022-03-03T16:22:12.413Z,Which best represents your situation?,I am the only primary person dealing with logistics after this loss
2022-03-07T15:03:45.707Z,What do you want to happen to your body after you die?,Green burial
2022-03-07T15:03:45.717Z,What do you want to happen to your body after you die?,Green burial
2022-03-07T15:05:23.79Z,What do you want the mood to be at your funeral?,Other
2022-03-07T15:05:23.8Z,What do you want the mood to be at your funeral?,Other
2022-03-07T15:05:54.547Z,Where do you want your funeral to take place?,Somewhere outside
2022-03-07T15:06:23.72Z,What would you like people to give in your honor?,Donations
2022-03-07T15:06:23.723Z,What would you like people to give in your honor?,Donations
2022-03-07T15:07:10.133Z,What details of your funeral are important to you?,Music
2022-03-07T15:07:10.133Z,What details of your funeral are important to you?,Food/drinks
2022-03-07T15:07:10.14Z,What details of your funeral are important to you?,Music
2022-03-07T15:07:10.14Z,What details of your funeral are important to you?,Food/drinks
2022-03-07T15:07:50.317Z,What physical markers do you want established in your honor?,Other
2022-03-07T15:07:50.323Z,What physical markers do you want established in your honor?,Other
2022-03-07T15:11:41.13Z,Do you have a will and/or trust?,No
2022-03-07T15:11:41.137Z,Do you have a will and/or trust?,No
2022-03-07T15:14:09.413Z,Do you have a power of attorney?,No
2022-03-07T15:14:17.917Z,Do you have life insurance?,No
2022-03-16T14:49:41.767Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-03-16T14:49:48.397Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-03-16T14:49:48.397Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-03-16T14:49:48.397Z,What's motivating you to prepare for end of life?,I want to prevent family disagreements.
2022-03-16T14:49:55.373Z,What could you most use help on right now?,Health care planning
2022-03-16T14:49:55.373Z,What could you most use help on right now?,Planning my future funeral
2022-03-16T14:49:55.373Z,What could you most use help on right now?,Deciding what to do with my body
2022-03-16T14:49:55.373Z,What could you most use help on right now?,Getting my legal documents in place
2022-03-16T14:49:55.373Z,What could you most use help on right now?,Protecting my pets when I die
2022-03-16T14:49:55.373Z,What could you most use help on right now?,Sharing my wishes
2022-03-16T14:53:08.003Z,What details of your funeral are important to you?,Readings
2022-03-16T14:53:08.003Z,What details of your funeral are important to you?,Rituals
2022-03-16T14:53:08.003Z,What details of your funeral are important to you?,Music
2022-03-16T14:53:08.003Z,What details of your funeral are important to you?,Food/drinks
2022-03-16T14:53:08.003Z,What details of your funeral are important to you?,Dress code
2022-03-16T14:53:08.01Z,What details of your funeral are important to you?,Readings
2022-03-16T14:53:08.01Z,What details of your funeral are important to you?,Rituals
2022-03-16T14:53:08.01Z,What details of your funeral are important to you?,Music
2022-03-16T14:53:08.01Z,What details of your funeral are important to you?,Food/drinks
2022-03-16T14:53:08.01Z,What details of your funeral are important to you?,Dress code
2022-03-16T14:53:21Z,What would you like people to give in your honor?,Gifts
2022-03-16T14:53:21Z,What would you like people to give in your honor?,Donations
2022-03-16T14:53:21.007Z,What would you like people to give in your honor?,Gifts
2022-03-16T14:53:21.007Z,What would you like people to give in your honor?,Donations
2022-03-16T14:54:23.793Z,Where do you want your funeral to take place?,My home
2022-03-16T14:54:23.793Z,Where do you want your funeral to take place?,My favorite bar
2022-03-16T14:54:23.793Z,Where do you want your funeral to take place?,Somewhere outside
2022-03-16T14:54:23.797Z,Where do you want your funeral to take place?,My home
2022-03-16T14:54:23.797Z,Where do you want your funeral to take place?,My favorite bar
2022-03-16T14:54:23.797Z,Where do you want your funeral to take place?,Somewhere outside
2022-03-16T14:54:40.547Z,What do you want the mood to be at your funeral?,Celebratory
2022-03-16T14:54:40.553Z,What do you want the mood to be at your funeral?,Celebratory
2022-03-16T14:55:38.24Z,What do you want to happen to your body after you die?,Green burial
2022-03-16T14:55:38.25Z,What do you want to happen to your body after you die?,Green burial
2022-03-16T14:57:49.447Z,What physical markers do you want established in your honor?,Tree
2022-03-16T14:57:49.453Z,What physical markers do you want established in your honor?,Tree
2022-03-16T14:58:04.277Z,Are you an organ donor?,Yes
2022-03-16T14:58:04.283Z,Are you an organ donor?,Yes
2022-03-16T15:15:42.463Z,What do you want to happen to your email accounts when you die?,Leave it be
2022-03-16T15:16:58.53Z,Do you have life insurance?,Yes
2022-03-16T15:16:58.54Z,Do you have life insurance?,Yes
2022-03-16T15:17:03.66Z,Do you have a power of attorney?,No
2022-03-16T15:17:10.533Z,Do you have a will and/or trust?,No
2022-03-16T15:17:10.54Z,Do you have a will and/or trust?,No
2022-03-16T15:17:44.963Z,Who should your loved ones reach out to when managing your estate?,Other
2022-03-16T15:17:44.967Z,Who should your loved ones reach out to when managing your estate?,Other
2022-03-19T21:40:28.81Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-03-19T21:40:37.46Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-03-19T21:40:37.46Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-03-19T21:40:37.46Z,What's motivating you to prepare for end of life?,I want to prevent family disagreements.
2022-03-19T21:40:56.473Z,What could you most use help on right now?,Sharing my wishes
2022-03-22T00:20:00.25Z,Who passed away?,A friend
2022-03-22T00:20:09.333Z,When did your loved one pass away?,"They haven't yet, I'm just preparing"
2022-03-22T00:20:18.227Z,Were you anticipating this death?,I'm not sure
2022-03-29T14:31:13.233Z,How much have you thought about your end-of-life wishes?,I've started to think about what I want
2022-03-29T14:31:20.217Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-03-29T14:31:20.217Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-03-29T14:31:20.217Z,What's motivating you to prepare for end of life?,I want to protect my family financially
2022-03-29T14:31:20.217Z,What's motivating you to prepare for end of life?,I want to prevent family disagreements.
2022-03-29T14:31:29.523Z,What could you most use help on right now?,Planning my future funeral
2022-03-29T14:31:29.523Z,What could you most use help on right now?,Sharing my wishes
2022-03-29T14:32:15.597Z,What details of your funeral are important to you?,Readings
2022-03-29T14:32:15.597Z,What details of your funeral are important to you?,Music
2022-03-29T14:32:15.597Z,What details of your funeral are important to you?,Dress code
2022-03-29T14:32:15.603Z,What details of your funeral are important to you?,Readings
2022-03-29T14:32:15.603Z,What details of your funeral are important to you?,Music
2022-03-29T14:32:15.603Z,What details of your funeral are important to you?,Dress code
2022-03-29T14:32:29.95Z,What would you like people to give in your honor?,Flowers
2022-03-29T14:32:51.087Z,Where do you want your funeral to take place?,My place of worship
2022-03-29T14:33:00.533Z,What do you want the mood to be at your funeral?,Celebratory
2022-03-29T14:33:18.24Z,What do you want to happen to your body after you die?,Traditional burial
2022-03-29T14:33:18.247Z,What do you want to happen to your body after you die?,Traditional burial
2022-03-29T14:33:37.943Z,Who passed away?,My parent
2022-03-29T14:33:45.473Z,When did your loved one pass away?,Within the past year
2022-03-29T14:33:52.197Z,Were you anticipating this death?,"No, it was unexpected"
2022-03-29T14:34:02.557Z,Which best represents your situation?,I am one of a few primary people dealing with logistics after this loss
2022-03-29T14:34:11.393Z,Which aspects of dealing with a loss are most important to you?,Honoring their legacy
2022-03-29T14:34:11.393Z,Which aspects of dealing with a loss are most important to you?,Handling their belongings
2022-03-29T14:34:11.393Z,Which aspects of dealing with a loss are most important to you?,Coping with grief
2022-03-29T14:36:21.14Z,Do you have any dependents (regardless of age) with special needs?,No
2022-03-29T14:36:25.453Z,Do you have children?,Yes
2022-03-29T14:38:10.36Z,Do you have any pets?,Yes
2022-03-29T14:39:18.623Z,Who do you want to inherit your property when you pass away? Choose an option below.,"Split evenly among my children*, else their descendants"
2022-03-29T14:39:24.68Z,"Would you like to leave specific gifts, property, or items to specific people?",Yes
